"tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"12/16/2018","46","25","11","63","9","63","o3","SEDANG","DKI2"
"12/17/2018","41","30","12","128","12","128","o3","TIDAK SEHAT","DKI2"
"12/18/2018","51","27","16","160","14","160","o3","TIDAK SEHAT","DKI2"
"12/19/2018","62","27","24","195","19","195","o3","TIDAK SEHAT","DKI2"
"12/20/2018","55","27","24","97","18","97","o3","SEDANG","DKI3"
"12/21/2018","41","25","19","64","17","64","o3","SEDANG","DKI3"
"12/22/2018","58","32","21","66","18","66","o3","SEDANG","DKI3"
"12/23/2018","48","26","19","44","21","48","pm10","BAIK","DKI1"
"12/24/2018","34","24","9","45","5","45","o3","BAIK","DKI3"
"12/25/2018","29","24","7","70","4","70","o3","SEDANG","DKI3"
